epoch;evaluation_0;error_0;evaluation_1;error_1;evaluation_2;error_2;;avg e
148;53,04;1,04486021;43,51;1,097554153;11,33;1,720230405;;
149;53,37;0,691957843;44,66;0,991020117;11,33;1,54511847;;
150;53,2;0,96411284;44,83;0,870077036;11,33;2,080837477;;
151;53,04;0,758479196;44,83;0,930334966;11,33;1,588006522;;
152;53,04;0,852667139;44,83;0,898338663;11,33;1,869046016;;
153;53,04;0,972314823;44,17;0,800574196;11,33;1,491016298;;
154;53,2;0,939858685;44,66;1,034337146;11,33;1,721970209;;
155;53,2;0,924996147;44,66;0,995097732;11,33;1,499765608;;
156;53,04;0,90586873;44,5;0,75023369;11,33;1,373354831;;
157;53,04;0,619298852;44,33;0,9743156;11,33;1,957297263;;
158;53,37;0,989035709;45,65;0,901157327;11,33;1,599456807;;
159;53,86;0,963311693;44,66;0,849498189;11,33;1,588017197;;
160;54,19;1,033806718;45,16;0,802905065;11,33;1,737608449;;
161;54,52;0,667227647;44,99;0,983174713;11,33;1,740881736;;
162;54,02;0,855074017;45,65;1,168249712;11,33;1,734904218;;
163;54,19;0,617078489;45,98;1,039835538;11,33;1,441503758;;
164;54,52;1,095522399;45,81;0,999186457;11,33;1,469632882;;
165;54,35;0,858747405;45,81;1,072249325;11,33;1,824182146;;
166;53,86;0,827829227;45,81;0,797942756;11,33;2,000044123;;
167;53,86;0,50759831;46,63;1,081554925;11,33;1,423931952;;
168;53,86;0,589752851;46,47;1,054158885;11,33;1,627105919;;
169;54,52;0,764367475;47,13;0,893594657;11,33;1,684086625;;
170;54,84;0,838309757;46,14;0,978610899;11,33;1,850437542;;
171;55,17;0,837913228;46,8;1,016752798;11,33;1,482828777;;
172;55,5;1,054121288;47,62;0,875145907;11,33;1,636619235;;
173;55,5;1,037140269;48,6;0,942899764;11,33;1,655163922;;
174;55,34;0,513540046;47,62;0,736576278;11,33;1,559805668;;
175;55,17;0,811757028;48,44;1,069006482;11,33;1,416697552;;
176;54,84;0,718263653;48,6;1,01319179;11,33;2,022192877;;
177;55,99;0,708063528;49,1;0,930378512;11,33;1,985766438;;
178;55,99;0,993029724;49,1;1,195669685;11,33;1,767425773;;
179;55,5;0,48602326;49,59;0,773696327;11,33;1,623784715;;
180;55,99;0,547609165;49,26;1,10294307;11,33;1,99670655;;
181;56,16;0,487470428;50,41;1,082826053;11,33;1,576832525;;
182;55,5;0,529624783;50,08;1,134832771;11,33;1,558859452;;
183;55,5;0,785514772;50,74;0,951088701;11,33;1,84424417;;
184;55,67;0,610843202;50,57;0,944558831;11,33;1,164431057;;
185;55,99;0,627656993;51,72;0,777059931;11,33;1,252860043;;
186;56,16;0,834556434;51,07;0,667535545;11,33;1,826982027;;
187;56,16;0,655119376;50,25;0,7928586;11,33;1,626374126;;
188;56,32;0,803787741;50,57;1,174995712;11,33;1,476343016;;
189;56,81;0,522902708;50,57;0,771296967;11,33;1,744233048;;
190;56,81;0,667841535;52,22;0,914252039;11,33;1,836280298;;
191;56,98;0,704019195;52,05;0,98180922;11,33;1,261356923;;
192;57,14;1,034075085;53,53;0,995005117;11,33;1,932592554;;
193;56,98;0,525319024;53,69;0,919456129;11,33;1,671606882;;
194;56,81;0,506251695;54,02;0,904463864;11,33;1,609948948;;
195;56,81;0,539541462;54,19;0,68580691;11,33;1,952744507;;
196;56,65;0,978385506;53,53;0,873290535;11,33;1,579561296;;
197;56,65;0,888118267;52,71;0,880660944;11,33;1,914673652;;
198;56,32;0,713709228;52,87;0,822014308;11,33;1,777564391;;
199;56,32;0,60569547;53,04;0,782237939;11,33;1,671434501;;
200;56,98;0,760939352;52,71;0,877135457;11,33;1,393890446;;
