epoch;evaluation_0;error_0;evaluation_1;error_1;evaluation_2;error_2;;avg eval;avg error
147;40,39;0,948395574;25,45;1,182008722;11,17;1,437951034;;25,67;1,490358086
148;40,89;0,917895103;25,94;1,135602309;11,17;1,865887427;;26;1,371722548
149;40,56;1,068248595;25,78;1,172717752;11,17;1,805302948;;25,83666667;1,398169285
150;41,05;1,08190873;26,27;1,010168664;11,17;2,315375035;;26,16333333;1,446858619
151;40,56;0,9749597;26,27;1,141390428;11,17;2,18258431;;26;1,334150457
152;40,39;1,281601598;26,93;1,095390645;11,17;1,798505798;;26,16333333;1,264526186
153;41,54;1,161957142;26,93;1,182820837;11,17;1,970974255;;26,54666667;1,387756925
154;41,87;0,795056587;27,59;1,081913283;11,17;1,799952916;;26,87666667;1,240027558
155;42,04;0,874206369;27,59;0,990396594;11,17;1,915462077;;26,93333333;1,422634521
156;41,87;1,178875249;27,91;1,421174453;11,17;1,921201078;;26,98333333;1,295297193
157;42,04;1,407493981;27,91;1,10572321;11,17;1,356976913;;27,04;1,537595429
158;42,04;0,993083973;27,42;1,160754109;11,17;1,571417592;;26,87666667;1,344571159
159;41,87;0,934409546;27,75;1,23759305;11,17;1,884008578;;26,93;1,601588855
160;42,04;0,940985214;27,42;1,379255505;11,17;1,849107434;;26,87666667;1,372715639
161;42,53;0,890344695;27,09;1,153011483;11,17;1,70913712;;26,93;1,279421636
162;42,2;1,03661675;27,09;1,325343356;11,17;1,429232751;;26,82;1,258146322
163;42,04;0,890143311;26,93;1,032208814;11,33;1,672762919;;26,76666667;1,37424461
164;42,86;1,009814189;27,75;1,193410216;11,33;1,836308914;;27,31333333;1,25062042
165;42,2;1,044704418;27,91;1,008366189;11,33;2,149451924;;27,14666667;1,430400277
166;42,2;1,213584335;29,23;1,207528089;11,33;2,031874303;;27,58666667;1,382332014
167;42,36;0,992306368;28,9;1,160061833;11,33;1,475784526;;27,53;1,34766855
168;42,04;0,859931082;29,06;0,922372718;11,17;1,823015607;;27,42333333;1,362356262
169;43,19;1,160746634;29,23;1,325218902;11,17;2,127728273;;27,86333333;1,385330899
170;43,19;0,822272342;29,56;1,113929568;11,17;2,072601807;;27,97333333;1,401075996
171;43,19;1,175137139;29,56;0,956052509;11,17;1,463267709;;27,97333333;1,46800841
172;43,68;1,008712602;29,06;1,106803785;11,17;2,016329222;;27,97;1,318632807
173;43,51;0,788150086;29,56;1,018165431;11,33;1,61767779;;28,13333333;1,313292938
174;44,01;1,058344325;29,39;1,080673892;11,33;1,528259105;;28,24333333;1,304919373
175;44,17;1,049618656;29,89;1,057722583;11,33;2,083692731;;28,46333333;1,172741508
176;44,17;0,906693252;29,89;1,06830711;11,33;1,990970806;;28,46333333;1,160731324
177;44,33;0,747336857;29,89;1,171529163;11,33;1,614312006;;28,51666667;1,128908886
178;44,17;1,342980104;30,54;1,072408669;11,33;1,665687798;;28,68;1,258303441
179;44,01;1,0501989;30,54;1,029449917;11,33;1,591929481;;28,62666667;1,278970979
180;44,01;0,749473773;30,54;0,954394209;11,33;1,797433412;;28,62666667;1,171730327
