sep=|
epoch|evaluation_0|error_0
100|11,17|3,6912706752482
101|11,17|3,5946858375509
102|11,17|3,70562493926271
103|11,17|3,27472813228641
104|11,17|3,72161204954332
105|11,17|3,1763417823097
106|11,17|3,48059250648986
107|11,17|3,59440205832776
108|11,17|3,44736699120901
109|11,17|3,08762273823832
110|11,17|3,23385337796569
111|11,17|3,02727748010487
112|11,17|3,4204570223606
113|11,17|3,64968812880601
114|11,17|3,38382570525277
115|11,17|3,36333086034218
116|11,17|3,56431383949458
117|11,17|3,69461211718945
118|11,17|3,79385445880718
119|11,17|3,45959411982683
120|11,17|3,45637354154185
121|11,17|3,67346920653503
122|11,17|3,44488065023497
123|11,17|3,17667528176041
124|11,17|3,73167129264955
125|11,17|3,50809254320747
126|11,17|3,63726043158027
127|11,17|3,56001102072369
128|11,17|3,8450659258046
129|11,17|3,4876661599237
130|11,17|3,06689078757832
131|11,17|3,37773372194409
132|11,17|3,45269489590006
133|11,17|3,44650935907906
134|11,17|3,41236459212296
135|11,17|3,37835997615322
136|11,17|3,46607254979307
137|11,17|3,06549207492268
138|11,17|3,03774081374737
139|11,17|3,48029663845909
140|11,17|3,42292094499287
141|11,17|3,15670603242859
142|11,17|3,29228386352501
143|11,17|3,27215903002034
144|11,17|3,62175207040721
145|11,17|3,33332270767963
146|11,17|2,86380299752577
147|11,17|3,27844333805152
148|11,17|3,10772764833515
149|11,17|3,23444591019552
150|11,17|3,3459819166809
151|11,17|3,63173734073945
152|11,17|3,29233693054345
153|11,17|3,58392054020257
154|11,17|3,61943981903116
155|11,17|3,60635475071879
156|11,17|3,04570717144219
157|11,17|3,35400830228597
158|11,17|3,20090084937913
159|11,17|3,35275028527888
160|11,17|3,29302444805607
161|11,17|3,45064312968946
162|11,17|3,54434512863577
163|11,17|3,473765813402
164|11,17|3,4221762217215
165|11,17|3,41704158518825
166|11,17|2,98949232850904
167|11,17|3,45814551076565
168|11,17|3,26353636805343
169|11,17|2,8573284888547
170|11,17|3,18587804577874
171|11,17|3,6333483353358
172|11,17|3,70054708949957
173|11,17|3,38307069583876
174|11,17|2,70389420251925
175|11,17|3,64527374032161
176|11,17|3,13014922363057
177|11,17|3,686673085774
178|11,17|3,30685806646457
179|11,17|3,33720278002003
180|11,17|3,32286313003314
181|11,17|3,3372420559074
182|11,17|3,48915758675445
183|11,17|3,40054911236447
184|11,17|3,2209389239213
185|11,17|3,39354975516611
186|11,17|3,45607891155895
187|11,17|3,28227487184664
188|11,17|3,60038068762447
189|11,17|3,44682013532218
190|11,17|3,45237504476368
191|11,17|3,54924701647061
192|11,17|3,05910333751709
193|11,17|3,44332642605253
194|11,17|3,35756407488867
195|11,17|3,49258162284347
196|11,17|3,29128429298961
197|11,17|3,33558947737622
198|11,17|3,37508371382847
199|11,17|3,78339582039028
200|11,17|3,58242460932205
201|11,17|3,38698419180191
202|11,17|3,26450166990352
203|11,17|3,12060909192695
204|11,17|3,2584111112664
205|11,17|2,84519059571991
206|11,17|3,39684824156889
207|11,17|3,20950721027723
208|11,17|3,14409784837032
209|11,17|3,62201615435908
210|11,17|3,27790053183334
211|11,17|3,419940993261
212|11,17|3,23776050577921
213|11,17|3,60369466666098
214|11,17|2,84975586233764
215|11,17|2,69194597030235
216|11,17|3,69861261140868
217|11,17|3,10358174334739
218|11,17|3,24303519215725
219|11,17|3,49878799281295
220|11,17|3,65821500338011
221|11,17|3,12349120049481
222|11,17|3,25368200061221
223|11,17|3,28517811484694
224|11,17|3,10113615624326
225|11,17|3,1885497892225
226|11,17|3,25626716706513
227|11,17|3,24548837986965
228|11,17|3,07285687218694
229|11,17|3,38329394157938
230|11,17|3,25750111577835
231|11,17|3,57537570120644
232|11,17|3,6534560564484
233|11,17|3,44024615279979
234|11,17|3,01802312603881
235|11,17|3,19764767816918
236|11,17|3,78293232078539
237|11,17|3,2738628593261
238|11,17|3,10686947357852
239|11,17|3,34405951314581
240|11,17|3,35214451321146
241|11,17|3,37581481210852
242|11,17|3,47379708747049
243|11,17|3,49766199944854
244|11,17|3,75323673375885
245|11,17|3,69765433842868
246|11,17|3,21431511919402
247|11,17|3,20650469656803
248|11,17|3,28769159338097
249|11,17|3,24329977108835
250|11,17|3,58406239147139
251|11,17|3,25923013077625
252|11,17|3,32753160873725
253|11,17|2,94320982418935
254|11,17|3,34337487406888
255|11,17|3,32595130353656
256|11,17|3,49364015212163
257|11,17|3,09551436197687
258|11,17|3,16422737772668
259|11,17|3,613298948791
260|11,17|3,38146119935349
261|11,17|3,85094153381886
262|11,17|3,06587702892427
263|11,17|2,79559813534063
264|11,17|3,434602071067
265|11,17|3,21097512948567
266|11,17|3,61623090314016
267|11,17|3,61264255249989
268|11,17|3,58859383291958
269|11,17|3,63058006480558
270|11,17|3,38824908451252
271|11,17|3,06048565173635
272|11,17|2,775641676405
273|11,17|3,55719925761208
274|11,17|3,37162929339159
275|11,17|3,36531634905946
276|11,17|3,23715939002398
277|11,17|3,23702628868415
278|11,17|3,59476725921292
279|11,17|3,36392738573673
280|11,17|3,30411705056714
281|11,17|3,08972604169418
282|11,17|3,22208637629465
283|11,17|3,20519344611924
284|11,17|3,36887047005636
285|11,17|3,61965247560656
286|11,17|3,18509055979626
287|11,17|2,7598914421882
288|11,17|3,11358302457188
289|11,17|3,18097493208973
290|11,17|3,42674321740105
291|11,17|3,51987343026594
292|11,17|2,4954135868363
293|11,17|3,14982595295349
294|11,17|3,21374854699464
295|11,17|3,39955803047804
296|11,17|3,01022426171001
297|11,17|3,53540199718989
298|11,17|3,40768644982859
299|11,17|3,61825558856811
300|11,17|3,40209794325297
